"sciname","nutrient","sex","age","median_ear","median_ear_perc"
"Abramis brama","Calcium","Children","5-9",0.020639725,2.0639725
"Abramis brama","Copper","Children","5-9",0.0789617647058823,7.89617647058823
"Abramis brama","Magnesium","Children","5-9",0.182509454545455,18.2509454545455
"Abramis brama","Phosphorus","Children","5-9",0.592168666666667,59.2168666666667
"Abramis brama","Zinc","Children","5-9",0.095774,9.5774
"Acanthogobius flavimanus","Calcium","Children","5-9",0.058125,5.8125
"Acanthogobius flavimanus","Copper","Children","5-9",0.0588235294117647,5.88235294117647
"Acanthogobius flavimanus","Magnesium","Children","5-9",0.245454545454545,24.5454545454545
"Acanthogobius flavimanus","Phosphorus","Children","5-9",0.469135802469136,46.9135802469136
"Acanthogobius flavimanus","Riboflavin","Children","5-9",80,8000
"Acanthogobius flavimanus","Thiamin","Children","5-9",0.04,4
"Acanthogobius flavimanus","Vitamin C","Children","5-9",0.0227272727272727,2.27272727272727
"Acanthogobius flavimanus","Zinc","Children","5-9",0.25,25
"Acanthopagrus schlegelii","Calcium","Children","5-9",0.01625,1.625
"Acanthopagrus schlegelii","Copper","Children","5-9",0.0882352941176471,8.8235294117647
"Acanthopagrus schlegelii","Magnesium","Children","5-9",0.327272727272727,32.7272727272727
"Acanthopagrus schlegelii","Phosphorus","Children","5-9",0.617283950617284,61.7283950617284
"Acanthopagrus schlegelii","Riboflavin","Children","5-9",600,60000
"Acanthopagrus schlegelii","Vitamin C","Children","5-9",0.136363636363636,13.6363636363636
"Acanthopagrus schlegelii","Zinc","Children","5-9",0.2,20
"Acanthropagrus australis, Acanthropagrus butcheri","Calcium","Children","5-9",0.02875,2.875
"Acanthropagrus australis, Acanthropagrus butcheri","Copper","Children","5-9",0,0
"Acanthropagrus australis, Acanthropagrus butcheri","Magnesium","Children","5-9",0.281818181818182,28.1818181818182
"Acanthropagrus australis, Acanthropagrus butcheri","Phosphorus","Children","5-9",0.864197530864197,86.4197530864197
"Acanthropagrus australis, Acanthropagrus butcheri","Riboflavin","Children","5-9",260,26000
"Acanthropagrus australis, Acanthropagrus butcheri","Vitamin C","Children","5-9",0.136363636363636,13.6363636363636
"Acanthropagrus australis, Acanthropagrus butcheri","Zinc","Children","5-9",0.15,15
"Acipenser fulvescens","Calcium","Children","5-9",0.01288125,1.288125
"Acipenser fulvescens","Copper","Children","5-9",0.102941176470588,10.2941176470588
"Acipenser fulvescens","Phosphorus","Children","5-9",0.362962962962963,36.2962962962963
"Acipenser fulvescens","Riboflavin","Children","5-9",620,62000
"Acipenser fulvescens","Thiamin","Children","5-9",0.12,12
"Acipenser fulvescens","Zinc","Children","5-9",0.11075,11.075
"Ailia coila","Calcium","Children","5-9",0.264375,26.4375
"Ailia coila","Copper","Children","5-9",0.173529411764706,17.3529411764706
"Ailia coila","Magnesium","Children","5-9",0.2,20
"Ailia coila","Phosphorus","Children","5-9",0.820987654320988,82.0987654320988
"Ailia coila","Zinc","Children","5-9",0.3,30
"Aldrichetta forsteri, family mugilidae","Calcium","Children","5-9",0.06625,6.625
"Aldrichetta forsteri, family mugilidae","Copper","Children","5-9",0.0294117647058824,2.94117647058824
"Aldrichetta forsteri, family mugilidae","Magnesium","Children","5-9",0.254545454545455,25.4545454545455
"Aldrichetta forsteri, family mugilidae","Phosphorus","Children","5-9",0.669135802469136,66.9135802469136
"Aldrichetta forsteri, family mugilidae","Riboflavin","Children","5-9",200,20000
"Aldrichetta forsteri, family mugilidae","Vitamin C","Children","5-9",0,0
"Aldrichetta forsteri, family mugilidae","Zinc","Children","5-9",0.275,27.5
"Allothunnus fallai","Calcium","Children","5-9",0.00375,0.375
"Allothunnus fallai","Magnesium","Children","5-9",0.245454545454545,24.5454545454545
"Allothunnus fallai","Riboflavin","Children","5-9",60,6000
"Allothunnus fallai","Thiamin","Children","5-9",0.1,10
"Allothunnus fallai","Vitamin C","Children","5-9",0.0136363636363636,1.36363636363636
"Allothunnus fallai","Zinc","Children","5-9",0.275,27.5
"Alosa pseudoharengus","Copper","Children","5-9",0.25,25
"Alosa pseudoharengus","Phosphorus","Children","5-9",0.879012345679012,87.9012345679012
"Alosa sapidissima","Calcium","Children","5-9",0.05875,5.875
"Alosa sapidissima","Copper","Children","5-9",0.188235294117647,18.8235294117647
"Alosa sapidissima","Magnesium","Children","5-9",0.272727272727273,27.2727272727273
"Alosa sapidissima","Phosphorus","Children","5-9",0.671604938271605,67.1604938271605
"Alosa sapidissima","Riboflavin","Children","5-9",480,48000
"Alosa sapidissima","Thiamin","Children","5-9",0.3,30
"Alosa sapidissima","Zinc","Children","5-9",0.0925,9.25
"Amblypharyngodon mola","Calcium","Children","5-9",1.06625,106.625
"Amblypharyngodon mola","Copper","Children","5-9",0.138235294117647,13.8235294117647
"Amblypharyngodon mola","Magnesium","Children","5-9",0.318181818181818,31.8181818181818
"Amblypharyngodon mola","Phosphorus","Children","5-9",1.72839506172839,172.839506172839
"Amblypharyngodon mola","Riboflavin","Children","5-9",160,16000
"Amblypharyngodon mola","Thiamin","Children","5-9",0.12,12
"Amblypharyngodon mola","Vitamin C","Children","5-9",0,0
"Amblypharyngodon mola","Zinc","Children","5-9",0.8,80
"Ameiurus nebulosus","Calcium","Children","5-9",0.015,1.5
"Ameiurus nebulosus","Copper","Children","5-9",0.0764705882352941,7.64705882352941
"Ameiurus nebulosus","Zinc","Children","5-9",0.10075,10.075
"Ammodytes personatus","Calcium","Children","5-9",0.625,62.5
